geneID,Severo
A1BG,2.30081051604544e-05
A1BG-AS1,6.24747659467923e-05
A1CF,1.67511799330356e-05
A2M,0.0001241046599663
A2M-AS1,9.57545728192083e-05
A2ML1,2.88568467636721e-05
A4GALT,3.98286227643286e-05
A4GNT,1.43353256689416e-05
AAAS,4.995767385302e-05
AACS,5.19681983193033e-05
AADAC,1.56173471477698e-05
AADAT,8.23423091957286e-05
AAGAB,5.18226020247744e-05
AAK1,0.0001597118530555
AAMDC,9.5207132751073e-05
AAMP,5.35675066971331e-05
AANAT,1.22187857967985e-05
AAR2,2.50707526204916e-05
AARS1,9.20882414866359e-05
AARS2,0.0001047464093362
AARSD1,8.87001009882859e-05
AASDH,6.77138230202575e-05
AASDHPPT,0.0001086311722865
AASS,0.0001522813899096
AATBC,6.09012142008494e-05
AATF,6.53011943767828e-05
AATK,7.80971915147944e-05
ABAT,0.0001518367734286
ABCA1,7.92184692929991e-05
ABCA12,1.53842607081749e-05
ABCA13,3.17968347734e-05
ABCA2,7.21666282860689e-05
ABCA3,7.14620740945192e-05
ABCA4,1.66657068222054e-05
ABCA5,0.0001081894947644
ABCA6,3.34992116609286e-05
ABCA7,5.18267151916727e-05
ABCA8,0.0001399342587495
ABCA9,8.17787477777414e-05
ABCB1,6.36450388260695e-05
ABCB10,4.26718804771581e-05
ABCB11,1.89974337064427e-05
ABCB4,3.80667273581024e-05
ABCB5,3.60121305269112e-05
ABCB6,5.0937956275836e-05
ABCB7,9.06661694389615e-05
ABCB8,5.34023657112076e-05
ABCB9,8.50983937458212e-05
ABCC1,0.000102260555402
ABCC10,0.0001028063037501
ABCC11,2.36163669047722e-05
ABCC12,3.09365843258651e-05
ABCC2,1.76202503571602e-05
ABCC3,5.78540798443333e-05
ABCC4,7.58641004876371e-05
ABCC5,0.0001298199457705
ABCC6,2.33531738011656e-05
ABCC8,4.22553633867373e-05
ABCC9,7.48394623861526e-05
ABCD1,3.50612802116104e-05
ABCD2,4.15165786608546e-05
ABCD3,0.0001520342843548
ABCD4,4.28560016498025e-05
ABCE1,0.000149114528158
ABCF1,8.96572790034451e-05
ABCF2,5.79864345654314e-05
ABCF3,5.57156354987334e-05
ABCG1,0.0001297731195719
ABCG2,7.75537122811525e-05
ABCG4,2.28697735178058e-05
ABCG5,1.99613581983475e-05
ABCG8,1.05312555601805e-05
ABHD1,3.25637649624682e-05
ABHD10,0.000126263418837
ABHD11,7.21497342363263e-05
ABHD12,8.37272024564058e-05
ABHD12B,4.86369024951036e-05
ABHD13,5.74040287403644e-05
ABHD14A,4.24651955288545e-05
ABHD14B,3.77221197687937e-05
ABHD15,1.0168512218058e-05
ABHD16A,6.87349510108875e-05
ABHD17A,1.86523813426813e-05
ABHD17B,0.000115947826098
ABHD17C,6.21663330596411e-05
ABHD18,0.0001175619687267
ABHD2,0.0001496943851966
ABHD3,3.64882806295361e-05
ABHD4,4.73508365499011e-05
ABHD5,9.35648661931697e-05
ABHD6,0.0001329256984516
ABHD8,3.191486538021e-05
ABI1,0.0001364026191189
ABI2,0.000181825541421
ABI3,4.65058322759397e-05
ABI3BP,4.82806582438298e-05
ABITRAM,8.11786329179718e-05
ABL1,7.77745834853954e-05
ABL2,0.0001158833792929
ABLIM1,0.0001404062725823
ABLIM2,9.13073428154266e-05
ABLIM3,0.0001123803104332
ABO,8.78678004067546e-05
ABR,0.0001047196106216
ABRACL,7.1686166124316e-05
ABRAXAS1,0.0001201768859079
ABRAXAS2,7.83437805913185e-05
ABT1,2.57151153459508e-05
ABTB1,7.22234282742161e-05
ABTB2,6.68808633400746e-05
ABTB3,5.41941863894446e-05
ACAA1,9.79813847532313e-05
ACAA2,9.17963557073829e-05
ACACA,9.40710062655283e-05
ACACB,0.0001777633040063
ACAD10,6.1708276795207e-05
ACAD11,0.0001286815597995
ACAD8,6.24301224730688e-05
ACAD9,6.51921345504231e-05
ACADL,3.25806223294019e-05
ACADM,5.39306175065316e-05
ACADS,5.78382548596377e-05
ACADSB,6.45297444823684e-05
ACADVL,5.82023342522797e-05
ACAN,6.99287896834273e-05
ACAP1,7.26931464709693e-05
ACAP2,0.0001423689201398
ACAP3,4.32099116493553e-05
ACAT1,0.0001065343423723
ACAT2,7.24816228300913e-05
ACBD3,0.0001152582705144
ACBD4,6.14559427259106e-05
ACBD5,0.0001346059562598
ACBD6,6.01738788613429e-05
ACCS,6.84710949446283e-05
ACD,3.67805148968939e-05
ACE,4.0044302059769e-05
ACE2,2.54485390216169e-05
ACER1,3.4070175921703e-05
ACER2,3.86396324639634e-05
ACER3,0.0001479657577786
ACHE,5.48405031716392e-05
ACIN1,6.04084530874519e-05
ACKR1,4.52459483245875e-05
ACKR2,4.760940910756e-05
ACKR3,7.66611041491952e-05
ACKR4,4.86056883630765e-05
ACLY,0.0001436390616082
ACMSD,1.32896049411842e-05
ACO1,5.23544256821508e-05
ACO2,4.28534748320333e-05
ACOT11,7.74429421426523e-05
ACOT12,1.53061551807743e-05
ACOT13,7.88964558300869e-05
ACOT2,2.72877495228789e-05
ACOT4,2.98630987304938e-05
ACOT6,1.70802985688753e-05
ACOT7,9.84329998410593e-05
ACOT8,5.81052399959841e-05
ACOT9,3.65184831539737e-05
ACOX1,0.0001263266898907
ACOX2,6.28700855571985e-06
ACOX3,9.33381433697434e-05
ACOXL,3.43268960923662e-05
ACP1,0.0001199979472716
ACP2,2.08636880213134e-05
ACP3,2.10981681300885e-05
ACP4,6.48691814174845e-05
ACP5,3.50218950023161e-05
ACP6,6.95076969960172e-05
ACR,2.43601216643255e-05
ACRBP,6.03530778385186e-05
ACRV1,4.48602665146031e-05
ACSBG1,7.98453989498693e-05
ACSBG2,2.18630342788399e-05
ACSF2,5.72625567577287e-05
ACSF3,7.86848796893523e-05
ACSL1,9.23139898661681e-05
ACSL3,0.0001370862646359
ACSL4,0.0001007591412898
ACSL5,5.61273456500943e-05
ACSL6,0.0001232032777706
ACSM1,2.50557509321489e-05
ACSM3,2.22880759476423e-05
ACSM5,4.86254223229254e-05
ACSS1,8.94350718502352e-05
ACSS2,5.4019273328155e-05
ACSS3,4.17895615855941e-05
ACTA1,1.36636583690506e-05
ACTA2,0.0001288498975999
ACTB,0.0002293460794538
ACTC1,1.3063528972886e-05
ACTG1,0.0001943349570354
ACTG2,2.91757886589827e-05
ACTL6A,2.34097688512563e-05
ACTL6B,0.0001013107743225
ACTMAP,2.61864643252545e-05
ACTN1,0.0001102850600526
ACTN2,0.0001040528147978
ACTN3,8.77363160229099e-06
ACTN4,5.95666317740438e-05
ACTR10,0.0001330759186359
ACTR1A,0.0001085624410319
ACTR1B,6.24247872138154e-05
ACTR2,0.000169963550275
ACTR3,0.0001396588455096
ACTR3B,0.0001019175731399
ACTR3C,0.0001100876160533
ACTR5,4.96070824248108e-05
ACTR6,6.54344365946599e-05
ACTR8,6.96145574702675e-05
ACTRT3,1.56370999065437e-05
ACVR1,3.80327022551928e-05
ACVR1B,0.0001400462821277
ACVR1C,8.8132896853347e-05
ACVR2A,0.0001522451805902
ACVR2B,0.0001133096196569
ACVR2B-AS1,8.69923230787e-05
ACVRL1,8.23514668936315e-05
ACY1,4.32545897687774e-05
ACY3,3.82077579958808e-05
ACYP1,9.808336661862e-05
ACYP2,0.0001310957790029
ADA,4.52710533357451e-05
ADA2,5.35643431351649e-05
ADAD2,4.58465511382297e-05
ADAM10,0.0001564500801062
ADAM11,7.78192305387461e-05
ADAM12,7.12269494579964e-05
ADAM15,3.79490211847654e-05
ADAM17,0.000132701412839
ADAM18,2.00714957903668e-05
ADAM19,6.66067579818656e-05
ADAM2,1.61184865667805e-05
ADAM21,7.24742941239867e-05
ADAM22,0.0001518947201303
ADAM23,0.0001357251787269
ADAM28,0.0001027649549776
ADAM29,5.60891588653987e-06
ADAM30,3.46548160975194e-05
ADAM32,2.31593317457078e-05
ADAM33,0.0001092625334119
ADAM5,1.16741094947669e-05
ADAM7,3.08963320689771e-05
ADAM8,6.85716902727541e-05
ADAM9,0.0001190558645444
ADAMTS1,0.0001088440598941
ADAMTS10,9.01770961288628e-05
ADAMTS12,4.14912597695787e-05
ADAMTS13,4.77014336794973e-05
ADAMTS14,2.95779631851909e-05
ADAMTS15,2.82827618584601e-05
ADAMTS16,6.05172742414166e-05
ADAMTS16-DT,3.02378727908134e-05
ADAMTS17,5.26754787920038e-05
ADAMTS18,4.87079697920739e-05
ADAMTS19,5.47222995755382e-05
ADAMTS2,5.18070479132935e-05
ADAMTS20,3.6217089558825e-05
ADAMTS3,3.16917148599934e-05
ADAMTS4,1.5279399941819e-05
ADAMTS5,4.85618493967585e-05
ADAMTS6,4.06160189149862e-05
ADAMTS7,5.23104393231592e-05
ADAMTS8,9.45055433959591e-05
ADAMTS9,5.29508889892901e-05
ADAMTS9-AS1,4.14501792994303e-05
ADAMTS9-AS2,5.52393222415905e-05
ADAMTSL1,5.24508902946377e-05
ADAMTSL2,1.64702595305095e-05
ADAMTSL3,3.29433865665877e-05
ADAMTSL4,6.54720389747689e-05
ADAMTSL4-AS2,1.19662342083019e-05
ADAMTSL5,4.34274668999267e-05
ADAP1,6.91166622150748e-05
ADAP2,6.86353814614513e-05
ADAR,0.0001511723806451
ADARB1,9.59706782685964e-05
ADARB2,0.0001047886355536
ADARB2-AS1,4.15613501710088e-05
ADAT1,7.59703698315031e-05
ADAT2,5.07209878278641e-05
ADCK1,6.96779741357068e-05
ADCK2,7.3503668696326e-05
ADCK5,2.76191345752493e-05
ADCY1,0.0001568005078654
ADCY10,2.92020550170479e-05
ADCY2,0.000118845747116
ADCY3,7.18172996959607e-05
ADCY4,6.33213355719505e-05
ADCY5,7.34513490758298e-05
ADCY6,3.53023655988926e-05
ADCY6-DT,1.48011653059245e-05
ADCY7,9.48344968343473e-05
ADCY8,4.53625883721616e-05
ADCY9,9.47998118473927e-05
ADCYAP1R1,0.0001031792127752
ADD1,0.0001279670036072
ADD2,0.0001525411408759
ADD3,0.0001818619262962
ADD3-AS1,0.0001257296969162
ADGB,8.44697158766778e-06
ADGRA1,2.29468285925909e-05
ADGRA2,9.38082034240447e-05
ADGRA3,9.20498496399449e-05
ADGRB1,6.09066667602774e-05
ADGRB2,6.51200460705608e-05
ADGRB3,0.0001129158626862
