pValue	topAUC	KSstat	GSname
0.0007771438	0.5486	0.6505	STANHILL_HRAS_TRANSFROMATION_UP
0.0030742714	0.1747	0.4607	REACTOME_HYALURONAN_METABOLISM
0.0016902002	0.1747	0.5374	CHAN_INTERFERON_PRODUCING_DENDRITIC_CELL
0.0007894700	0.1437	0.3997	GNF2_SERPINI2
0.0025083577	0.1400	0.3202	chryq11
0.0020780302	0.1322	0.3601	GNF2_SPINK1
0.0008936284	0.1193	0.2558	GCM_SMO
0.0020571844	0.1146	0.3301	DARWICHE_PAPILLOMA_RISK_HIGH_VS_LOW_DN
0.0017775043	0.1107	0.2067	GNF2_MLF1
0.0029417277	0.1013	0.5401	FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_UP
0.0000001270	0.0969	0.2284	SRC_UP.V1_UP
0.0009501739	0.0943	0.2185	REACTOME_OLFACTORY_SIGNALING_PATHWAY
0.0000270402	0.0921	0.1427	KRAS.600_UP.V1_DN
0.0027723308	0.0882	0.1593	RELA_DN.V1_DN
0.0019599039	0.0870	0.2148	LIN_APC_TARGETS
0.0000180081	0.0869	0.2085	GNF2_HPN
0.0000416079	0.0862	0.3989	HATADA_METHYLATED_IN_LUNG_CANCER_DN
0.0016654715	0.0861	0.5380	IRITANI_MAD1_TARGETS_UP
0.0023593382	0.0858	0.4547	DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_UP
0.0007297553	0.0857	0.2613	CAR_IGFBP1
0.0000000001	0.0844	0.2195	MEISSNER_BRAIN_HCP_WITH_H3K27ME3
0.0029143709	0.0839	0.1093	KRAS.600.LUNG.BREAST_UP.V1_UP
0.0015268900	0.0839	0.3219	MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED
0.0005369474	0.0829	0.2158	KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_DN
0.0001295900	0.0816	0.3172	KRAS.50_UP.V1_DN
0.0011516952	0.0813	0.3064	RIZ_ERYTHROID_DIFFERENTIATION_6HR
0.0001162713	0.0809	0.1979	GNF2_LCAT
0.0001150159	0.0796	0.1904	GNF2_HPX
0.0001683291	0.0793	0.1888	KRAS.KIDNEY_UP.V1_DN
0.0016130056	0.0776	0.1517	chr20q13
0.0024912732	0.0770	0.4156	WEBER_METHYLATED_ICP_IN_FIBROBLAST
0.0031011140	0.0749	0.2343	MIKKELSEN_MEF_LCP_WITH_H3K27ME3
0.0010666141	0.0742	0.2270	MAHAJAN_RESPONSE_TO_IL1A_DN
0.0023923326	0.0741	0.4283	LIU_IL13_MEMORY_MODEL_UP
0.0000097280	0.0737	0.0935	MODULE_117
0.0000169945	0.0725	0.2342	SUNG_METASTASIS_STROMA_UP
0.0008971355	0.0721	0.1650	SMID_BREAST_CANCER_ERBB2_UP
0.0028383375	0.0716	0.2282	LEE_LIVER_CANCER_MYC_TGFA_DN
0.0003182113	0.0715	0.3196	CHEMOKINE_ACTIVITY
0.0012678692	0.0712	0.1173	TBK1.DF_UP
0.0016863068	0.0712	0.2878	PROTEASE_INHIBITOR_ACTIVITY
0.0006950822	0.0698	0.3016	CHEMOKINE_RECEPTOR_BINDING
0.0000353820	0.0689	0.2532	RICKMAN_HEAD_AND_NECK_CANCER_E
0.0004989915	0.0677	0.1563	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS
0.0015436009	0.0666	0.5195	REACTOME_GABA_A_RECEPTOR_ACTIVATION
0.0003428580	0.0661	0.1250	REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS
0.0005790094	0.0658	0.1492	P53_DN.V1_DN
0.0004220828	0.0657	0.1976	GNF2_GSTM1
0.0010929566	0.0653	0.0841	REACTOME_GPCR_DOWNSTREAM_SIGNALING
0.0008519085	0.0652	0.1105	MIKKELSEN_NPC_HCP_WITH_H3K27ME3
