pValue	topAUC	KSstat	GSname
0.0000000000	0.5208	0.6929	GNF2_TPT1
0.0000000004	0.4562	0.5860	MIPS_40S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC
0.0000000000	0.4112	0.6058	MIPS_RIBOSOME_CYTOPLASMIC
0.0000000019	0.4032	0.5925	MODULE_29
0.0000000000	0.3987	0.6490	MIPS_60S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC
0.0000000000	0.3927	0.5674	REACTOME_PEPTIDE_CHAIN_ELONGATION
0.0019545625	0.3905	0.6146	REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION
0.0000000000	0.3887	0.5489	KEGG_RIBOSOME
0.0000000000	0.3844	0.6085	GNF2_ST13
0.0000000000	0.3737	0.5662	GNF2_EIF3S6
0.0000000000	0.3710	0.5577	GCM_TPT1
0.0000000000	0.3706	0.5172	STRUCTURAL_CONSTITUENT_OF_RIBOSOME
0.0000000000	0.3392	0.5089	REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION
0.0000000000	0.3364	0.4877	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION
0.0000000000	0.3364	0.6244	GNF2_GLTSCR2
0.0000000000	0.3348	0.5067	REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX
0.0000000000	0.3291	0.4995	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE
0.0000000000	0.3236	0.5831	BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES
0.0000000002	0.3201	0.4800	REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX
0.0000000000	0.3046	0.4809	MORF_TPT1
0.0000000001	0.3023	0.4499	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S
0.0000000536	0.3011	0.5965	GNF2_MBD4
0.0000000000	0.3008	0.5083	GNF2_DAP3
0.0015826670	0.2963	0.4183	HEDENFALK_BREAST_CANCER_BRACX_UP
0.0000091451	0.2922	0.4777	MIPS_TRBP_CONTAINING_COMPLEX_1
0.0000000000	0.2834	0.4661	MORF_JUND
0.0000000000	0.2783	0.4295	REACTOME_TRANSLATION
0.0000000000	0.2771	0.4020	REACTOME_INFLUENZA_LIFE_CYCLE
0.0000000902	0.2707	0.3999	CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP
0.0000005315	0.2667	0.3748	YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP
0.0000000000	0.2649	0.4640	GNF2_FBL
0.0000000000	0.2637	0.4354	MIPS_NOP56P_ASSOCIATED_PRE_RRNA_COMPLEX
0.0000000000	0.2523	0.5046	GNF2_RBBP6
0.0000000000	0.2412	0.4778	GNF2_NPM1
0.0000000000	0.2404	0.3959	MORF_NPM1
0.0000004852	0.2402	0.4621	BILANGES_SERUM_RESPONSE_TRANSLATION
0.0000000000	0.2397	0.3898	MORF_ACTG1
0.0068591901	0.2397	0.5054	MIPS_UTX_MLL2_3_COMPLEX
0.0000203639	0.2336	0.3791	RIBOSOME
0.0000000000	0.2284	0.4155	GCM_NPM1
0.0000000050	0.2190	0.4098	GNF2_DEK
0.0006124955	0.2185	0.5502	SINGLE_STRANDED_RNA_BINDING
0.0000015459	0.2151	0.3472	MORF_BAG5
0.0000000000	0.2141	0.3774	REACTOME_METABOLISM_OF_MRNA
0.0000003593	0.2140	0.4879	WENDT_COHESIN_TARGETS_UP
0.0000486513	0.2126	0.2948	POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_DN
0.0000000000	0.2119	0.3019	MORF_NME2
0.0000000450	0.2114	0.2577	PECE_MAMMARY_STEM_CELL_DN
0.0000000000	0.2108	0.3401	MORF_EIF4A2
0.0019265794	0.2077	0.3767	SCHRAMM_INHBA_TARGETS_DN
