pValue	topAUC	KSstat	GSname
0.0002001652	0.1317	0.4007	WEBER_METHYLATED_HCP_IN_SPERM_DN
0.0001531659	0.1209	0.3449	WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN
0.0003312763	0.0786	0.1052	ZHANG_BREAST_CANCER_PROGENITORS_UP
0.0000454880	0.0739	0.5661	LEIN_LOCALIZED_TO_DISTAL_AND_PROXIMAL_DENDRITES
0.0000006030	0.0739	0.2037	ZHANG_TLX_TARGETS_36HR_DN
0.0002107038	0.0684	0.0839	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3
0.0001049080	0.0656	0.1328	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP
0.0001025879	0.0643	0.2365	ZHANG_TLX_TARGETS_UP
0.0000171964	0.0635	0.0839	JOHNSTONE_PARVB_TARGETS_3_DN
0.0002516616	0.0594	0.0924	TIEN_INTESTINE_PROBIOTICS_24HR_UP
0.0001507689	0.0581	0.4140	GNF2_TM4SF2
0.0000336013	0.0571	0.0668	DODD_NASOPHARYNGEAL_CARCINOMA_DN
0.0002094925	0.0532	0.2204	MCCLUNG_CREB1_TARGETS_UP
0.0001642084	0.0523	0.2421	GCM_MAPK10
0.0001048414	0.0504	0.0650	BLALOCK_ALZHEIMERS_DISEASE_DN
0.0000837862	0.0483	0.1880	TTCNRGNNNNTTC_V$HSF_Q6
0.0000881582	0.0477	0.4105	MODULE_355
0.0000341341	0.0472	0.1367	MODULE_151
0.0000447760	0.0440	0.0885	chr19q13
0.0000516501	0.0426	0.0862	KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP
0.0000464856	0.0426	0.1313	MODULE_114
0.0001990268	0.0421	0.0606	YOSHIMURA_MAPK8_TARGETS_UP
0.0000169074	0.0420	0.2785	GNF2_DNM1
0.0000171098	0.0414	0.1781	V$HEN1_02
0.0001758347	0.0401	0.1242	MODULE_83
0.0000172727	0.0399	0.1252	HSIAO_HOUSEKEEPING_GENES
0.0000033159	0.0394	0.1136	KIM_ALL_DISORDERS_CALB1_CORR_UP
0.0000599393	0.0393	0.3811	MODULE_299
0.0000543181	0.0366	0.3499	JIANG_AGING_HYPOTHALAMUS_UP
0.0000479412	0.0345	0.2454	KEGG_RIBOSOME
0.0000192406	0.0333	0.0843	MODULE_55
0.0000286550	0.0323	0.0827	MODULE_88
0.0002001403	0.0312	0.1405	CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP
0.0000897616	0.0299	0.1096	RGAANNTTC_V$HSF1_01
0.0000024258	0.0283	0.1935	PRC2_EDD_UP.V1_UP
0.0002724274	0.0279	0.2433	LIN_APC_TARGETS
0.0000180204	0.0272	0.2672	MIPS_RIBOSOME_CYTOPLASMIC
0.0000046567	0.0272	0.1317	MODULE_2
0.0000298881	0.0257	0.2919	BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES
0.0000080138	0.0256	0.2681	REACTOME_PEPTIDE_CHAIN_ELONGATION
0.0000000113	0.0243	0.1334	MODULE_66
0.0000235335	0.0242	0.1390	MODULE_181
0.0001264486	0.0236	0.1734	MORF_NPM1
0.0000000267	0.0235	0.1313	MODULE_100
0.0001289906	0.0232	0.1321	REACTOME_NEURONAL_SYSTEM
0.0000000006	0.0231	0.1456	MODULE_11
0.0000000199	0.0219	0.1323	MODULE_137
0.0000050242	0.0212	0.2510	MORF_TPT1
0.0000391250	0.0209	0.1848	chr22q13
0.0002900511	0.0201	0.1051	MODULE_60
