pValue	topAUC	KSstat	GSname
0.0000020366	0.5533	0.7000	REACTOME_GABA_A_RECEPTOR_ACTIVATION
0.0000000485	0.3749	0.5748	GNF2_AF1Q
0.0013926008	0.3162	0.4024	REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT
0.0060357057	0.3008	0.4888	GABA_RECEPTOR_ACTIVITY
0.0062117147	0.2705	0.3974	LE_NEURONAL_DIFFERENTIATION_UP
0.0012033889	0.2643	0.3812	chr2p14
0.0041064576	0.2510	0.4362	MODULE_215
0.0014440965	0.2397	0.4436	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM
0.0000000001	0.2345	0.4879	GNF2_RTN1
0.0000383587	0.2200	0.5247	SEIDEN_MET_SIGNALING
0.0000000002	0.2111	0.4268	GCM_MAP1B
0.0002934162	0.2082	0.3618	MODULE_278
0.0000008329	0.2044	0.4167	GNF2_MAPT
0.0007307984	0.2008	0.2735	REACTOME_GABA_RECEPTOR_ACTIVATION
0.0000000212	0.1881	0.3496	GNF2_DNM1
0.0000054002	0.1877	0.3133	LEIN_NEURON_MARKERS
0.0015479764	0.1872	0.3170	GCM_RAP2A
0.0009441582	0.1869	0.2957	MODULE_87
0.0006932613	0.1866	0.2556	MORF_BUB1B
0.0000052771	0.1865	0.3237	GCM_CRKL
0.0006095595	0.1822	0.3831	IKEDA_MIR30_TARGETS_DN
0.0000000000	0.1816	0.2954	KIM_ALL_DISORDERS_CALB1_CORR_UP
0.0000000000	0.1735	0.4041	GCM_BMPR2
0.0031864177	0.1721	0.3488	MODULE_307
0.0000000000	0.1703	0.3017	LU_AGING_BRAIN_DN
0.0000000000	0.1688	0.2965	BLALOCK_ALZHEIMERS_DISEASE_DN
0.0002429403	0.1686	0.5227	MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_8
0.0000000053	0.1679	0.2669	KRAS.KIDNEY_UP.V1_UP
0.0004122687	0.1676	0.3077	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
0.0000000294	0.1656	0.2669	RODWELL_AGING_KIDNEY_DN
0.0048460468	0.1615	0.4604	PEROXISOMAL_MEMBRANE
0.0048460468	0.1615	0.4604	MICROBODY_MEMBRANE
0.0004090687	0.1615	0.4246	chr13q13
0.0000014323	0.1597	0.4247	GNF2_RAB3A
0.0000023531	0.1536	0.2950	MODULE_62
0.0052708269	0.1517	0.2702	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE
0.0000495080	0.1505	0.2789	MORF_RAB6A
0.0029496376	0.1499	0.4621	PEROXISOMAL_PART
0.0029496376	0.1499	0.4621	MICROBODY_PART
0.0065976846	0.1492	0.4487	CYTOCHROME_C_OXIDASE_ACTIVITY
0.0039771234	0.1491	0.2381	JIANG_AGING_CEREBRAL_CORTEX_DN
0.0067626649	0.1479	0.1487	ATGTAGC,MIR-221,MIR-222
0.0000000023	0.1478	0.2754	RODWELL_AGING_KIDNEY_NO_BLOOD_DN
0.0000000002	0.1476	0.3326	GCM_CALM1
0.0000000091	0.1469	0.3418	MORF_MBD4
0.0000001612	0.1451	0.2927	CAHOY_NEURONAL
0.0000077477	0.1439	0.3391	GCM_PTPRD
0.0000000000	0.1432	0.2172	MILI_PSEUDOPODIA_HAPTOTAXIS_UP
0.0019615279	0.1429	0.1917	MCCLUNG_CREB1_TARGETS_UP
0.0000002603	0.1422	0.2869	MORF_RAB5A
