pValue	topAUC	KSstat	GSname
0.0000211031	0.4450	0.6454	REACTOME_GABA_A_RECEPTOR_ACTIVATION
0.0072003445	0.3616	0.4163	MODULE_215
0.0023072694	0.3615	0.5764	PROTEIN_SERINE_THREONINE_PHOSPHATASE_COMPLEX
0.0000000001	0.3599	0.6634	GNF2_AF1Q
0.0001674001	0.2893	0.4897	SEIDEN_MET_SIGNALING
0.0003273492	0.2865	0.4395	REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT
0.0016318517	0.2721	0.5387	REGULATION_OF_SYNAPSE_STRUCTURE_AND_ACTIVITY
0.0055566231	0.2629	0.4553	MIPS_CSA_COMPLEX
0.0043801532	0.2505	0.3981	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE
0.0000000000	0.2390	0.4204	KIM_ALL_DISORDERS_CALB1_CORR_UP
0.0000000000	0.2387	0.5532	GNF2_RTN1
0.0002170551	0.2362	0.3572	GCM_BAG5
0.0000000000	0.2356	0.4336	GCM_BMPR2
0.0000840130	0.2340	0.4342	MODULE_42
0.0033960876	0.2307	0.4426	chr2q22
0.0000063739	0.2275	0.4024	GNF2_NS
0.0000000000	0.2228	0.4701	GCM_MAP1B
0.0000287902	0.2224	0.3939	GCM_RAP2A
0.0001788054	0.2218	0.3716	MODULE_278
0.0005626294	0.2206	0.3091	JIANG_AGING_HYPOTHALAMUS_UP
0.0013255012	0.2198	0.4886	MIPS_20S_PROTEASOME
0.0000000000	0.2186	0.3892	KRAS.KIDNEY_UP.V1_UP
0.0039717950	0.2185	0.2765	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE
0.0087842045	0.2184	0.3655	NIKOLSKY_BREAST_CANCER_6P24_P22_AMPLICON
0.0007250925	0.2182	0.5075	REGULATION_OF_NEUROGENESIS
0.0043177872	0.2175	0.2978	LEIN_LOCALIZED_TO_PROXIMAL_DENDRITES
0.0010075504	0.2147	0.3936	GCM_PPM1D
0.0000000000	0.2117	0.4185	LU_AGING_BRAIN_DN
0.0002562023	0.2110	0.4102	MODULE_307
0.0006047176	0.2094	0.3699	MODULE_77
0.0009788399	0.2094	0.4118	MODULE_4
0.0000000000	0.2083	0.3902	BLALOCK_ALZHEIMERS_DISEASE_DN
0.0000000000	0.2068	0.3924	GCM_CALM1
0.0054126681	0.2066	0.3721	chr4p12
0.0017478442	0.2046	0.4262	NAM_FXYD5_TARGETS_DN
0.0000608536	0.2034	0.5427	BIOCARTA_EIF_PATHWAY
0.0102481239	0.2032	0.3603	chr5q22
0.0000049831	0.2027	0.4799	GCM_DEAF1
0.0000000003	0.2011	0.3451	CAHOY_NEURONAL
0.0001449661	0.1985	0.3814	WENDT_COHESIN_TARGETS_UP
0.0000599754	0.1954	0.3612	chrxq21
0.0000000033	0.1948	0.4980	chr2q32
0.0000000002	0.1926	0.3854	MODULE_62
0.0028545432	0.1923	0.4350	MIPS_PA28_20S_PROTEASOME
0.0071330191	0.1896	0.2539	MODULE_87
0.0013298004	0.1894	0.3714	MODULE_306
0.0019030171	0.1890	0.3374	KEGG_CITRATE_CYCLE_TCA_CYCLE
0.0000000000	0.1888	0.3357	GCM_RAN
0.0000008656	0.1869	0.4162	GNF2_MAPT
0.0012963164	0.1869	0.3002	PROTEIN_UBIQUITINATION
