"geneID","MeanWeight"
"A1BG",1.08251031167536
"A1BG-AS1",2.91960564962412
"A1CF",0.943418478181431
"A2M",5.33676277063539
"A2M-AS1",4.15379546021328
"A2ML1",1.42792359076656
"A2MP1",4.39278015700983
"A4GALT",1.94296585765697
"A4GNT",0.686484873346607
"AA06",2.39447520023774
"AAAS",2.37620550301698
"AACS",2.53496330002242
"AACSP1",1.05426040362753
"AADAC",0.886725252651106
"AADACL2",0.564796185115964
"AADACP1",1.14612352113049
"AADAT",3.67650547610691
"AAGAB",2.68668590700836
"AAK1",7.5113710001857
"AAMDC",4.09937546406295
"AAMP",2.52237784403104
"AANAT",0.62833397888206
"AAR2",1.07377277071757
"AARS1",4.225168866683
"AARS2",4.64129724653979
"AARSD1",3.92353944202533
"AASDH",3.22842381668186
"AASDHPPT",5.37952413152499
"AASS",6.39318300600197
"AATBC",2.95699049333498
"AATF",2.97766820368847
"AATK",3.49053146453928
"ABAT",7.25686015392914
"ABCA1",3.52157208620967
"ABCA11P",2.45472438140775
"ABCA12",0.758421286275471
"ABCA13",1.57413396713651
"ABCA17P",3.66386551907361
"ABCA2",3.31436137628201
"ABCA3",3.38260534662885
"ABCA4",1.0104400340264
"ABCA5",5.16025464113153
"ABCA6",1.72306095007323
"ABCA7",2.60024895369918
"ABCA8",6.14884205498308
"ABCA9",3.62461558727954
"ABCB1",3.01377837752341
"ABCB10",1.78768175959011
"ABCB11",1.15957938562044
"ABCB4",1.93644018824159
"ABCB5",1.83272831789906
"ABCB6",2.50461790723118
"ABCB7",4.43470419524358
"ABCB8",2.40495111517782
"ABCB9",3.82487888472823
"ABCC1",4.57687127125813
"ABCC10",4.74951485093245
"ABCC11",1.10328052887329
"ABCC12",1.58490959127856
"ABCC13",1.46022806567837
"ABCC2",0.855660711939201
"ABCC3",2.92706794125636
"ABCC4",3.53609125145351
"ABCC5",5.77826182400727
"ABCC6",1.36399998796111
"ABCC6P1",0.70816505916145
"ABCC8",2.03868399023398
"ABCC9",3.46825906170133
"ABCD1",1.52582232010611
"ABCD2",2.09279742253986
"ABCD3",6.71275572310404
"ABCD4",2.02882355574347
"ABCE1",6.94137704033976
