14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
PILRB	SLC6A4	BEX4	RSRP1	ZCCHC2	HS2ST1	KEAP1	RPS6KA1	BTBD16	ANAPC4
ZEB1-AS1	CCZ1B	KIFBP	CLNS1A	UBE2B	PRKDC	GMNN	PRPF38A	TUSC2	ASPA
TRAM1L1	CLIC3	SEC22A	PARP8	DUXAP8	SEPTIN7P13	ACVR1C	PLCD4	MAN1A1	RNF138
KANK4	LINC00847	BLOC1S2	PKD2	ZBTB16	ANP32E	AKR1C3	CCM2L	HERC5	LIG3
GUSBP15	IQCF2	SLITRK4	KLK6	NUS1	PAIP2	LPL	EHF	AP1G2-AS1	PHYH
LCA5	LINC02347	ABCE1	DENND11	PIK3IP1-DT	ARL1	ZNF432	SLC14A1	CTSC	RPL23A
PIGZ	GARS1	FBXO34	ARHGEF2	TMEM200B	MAL2	ATP5F1E	EML5	LINC00845	SLCO1A2
TMEM263	BCAR3	URB1	NCBP1	GAPT	GABRA1	TCP11L2	REV3L	NLRC5	RPL41
SS18L1	BTG3-AS1	DUSP4	ERC2-IT1	CLK1	ADCY1	UNC13C	SAE1	RNF111	TM6SF1
NRBP2	TMPRSS11E	NRG3	MYH11	PLEKHA3	ATP5F1C	EIF3J-DT	ZNF628	STARD7-AS1	SGO1
NUDCD2	SPINDOC	PPP4R4	RPS27	MARS2	RNF150	ESYT3	NARS2	FAM133A	HERC2P7
HVCN1	PRAMEF1	ZC3H15	ZFAS1	OR2H2	RAB6C	LINC02551	SEPSECS	ZBED1	RPL23AP32
TTC17	LINC01448	GPD1L	NCF2	NBEAL1	ARFGEF3	FAM78B	RIC8A	SAAL1	SCAF8
UBXN7-AS1	SDSL	UBB	FTH1P5	CARD6	ETFBKMT	SLC24A3	RPAP3	HAUS1	ZNF791
FSTL1	LOC101927159	LDHA	RUFY2	RAB11FIP2	ARPP21	KIF21B	H2BC7	POLR2G	WASHC4
ODAD1	HMMR	TM2D3	TBC1D12	ST7-OT4	TOX	MTFMT	ANTXR2	TMEM26-AS1	TIGD1
DGCR11	LOC105374428	CBX1	KLHDC9	PSPH	RANBP9	POLI	EFHC1	CFAP97	CCT6P3
RBM3	MYLK-AS1	GPR158	DYSF	FXR1	CHL1	DDX20	PM20D1	MORC2-AS1	FAU
STIM2	PCBP1	COPG2IT1	AMOTL2	PAPOLA	FZD3	ELF1	TNRC6A	EIF3I	PDCD6P1
DNAJC30	FILIP1L	EID2	SPDL1	ZNF781	PLCXD3	EGR4	LOC100996720	METTL6	FAM228B
TACO1	NHSL3	MDH2	CDC42SE1	RALGAPA2	RNMT	SSTR2	MKLN1	MORN2	LINC02603
ADGRB3-DT	SLC5A5	NETO2		CTHRC1	ZFAND6	LAMP2	LINC02985	TPRG1	LOC389765
COG3	LYSMD4	PPP2R2B		RSKR	ABI2	LINC00667	ZUP1	EOLA2	ACTR3C
SETD4	EGFEM1P	NDUFA4		ZNF317	AMZ2P1	SLC25A37	FMN2	ZNF491	SENP6
ARID4B	LNC-LBCS	FAM98B		CEBPD	AGBL4	KLHDC10	STX8	ALG6	GPR75
NOPCHAP1	LOC105377938	TCEAL7		TENT4B		CEBPB	GANC	FIGNL1	ZSCAN26
LOC101927829	EPS8L3	NELL2		TSHZ1		SNORA57	MCTS1	ALG1	CYP1B1
RDH13	JMJD6	GABRA2		COPS5		BDNF	ANKIB1	THAP12	PRPF3
SLC25A3	TAS1R2	ARMCX2		ATG4C		ATF4	AQP4	FAM201A	SEPTIN7P14
SNTG2-AS1	LOC105373150	TTC33		HSPA2-AS1		TLR2	LMAN1	HAGLR	LOC101926915
SEPTIN10	ZNF451-AS1	ACTR10		GMNC		NOSIP	CAPN2	BCDIN3D	THOC1
