14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
	CLPTM1L	SLITRK1		FLRT2					LHFPL5
	ADIRF-AS1	ELP3		RRH					ZNRF3
	SLC29A3	NFXL1		TRIM5					DZIP1
	FAIM2	PEBP1		KHDRBS3					IL17D
	LINC02366	PPP1R12A		ANKRD34C					BTF3
	APELA	CISD2		IGF2BP3					ZC3H12C
	USH2A	CNR1		TUBE1					CEP57
	SNCA	UQCRFS1		C3orf33					ST3GAL6
	FAM225A	MRFAP1		IER5					ATPSCKMT
	C2CD2	SUB1							RAPGEF4
	RBM42	CNPY2							STXBP3
	LINC01126	ADGRL2							PGBD1
	ACTL10	MAP1LC3B							SFSWAP
	AKAP3	FAXC							SNRPE
	DNM1P41	PTER							NCOA6
	CRLF2	PSMD5							MOSPD2
	TAS2R9	DPM1							ZNF852
	PRODH2	PTENP1							CDH18
	RPUSD2	TRHDE							SRI
	TNFSF11	SREK1							RABGAP1L
	CEL	CA10							TRIT1
	LINC00210	LSM3							CEP63
	SNHG3	TOGARAM1							ME2
	ZIC2	TMEM30A							FHL1
	SEC1P	PCP4L1							MTR
	VPS13B-DT	GET1							PET100
	PGLYRP3	ATXN10							NEMF
	PTPRU	VXN							OXNAD1
	APOBEC1	TMEM170B							CEROX1
	GPR101	BCAT1							ALDH2
	PFDN6	LOC105370109							SAMM50
	CYP2T1P	ARPC5L							WIPI1
	LOC102723847	MARK1							ZNF232
	UBFD1	SEPHS2							AGPAT4
	MIR670HG	OTUD6B-AS1							PECAM1
	KRTDAP	SIMC1							EPPIN
	ISM2	CTXND1							ZFX
	SLC10A2	KIFAP3							ZBTB8A
	LOC105371703	NAA15							KCTD21
	PRR34	PPP2CB							SLC2A1
	TRBV7-8	HUS1							HCG4
	NAA16	CNRIP1							ATRAID
	HTR5A	USO1							AMMECR1L
	PUS3	RGL1							ZMYM5
	TRMT2B	HSBP1							LCMT1
	FCGR2C	FUT9							SELENOF
	TRH	VSIG10L							ASH1L-AS1
	PQBP1	ATP6V1A							NIN
	LPO	AIG1							KHNYN
	FKTN	DYNC1I2							KIF5B
	ZNF181	ST6GALNAC5							ZNF641
		BTBD3							TPM1
		KARS1							SLC30A10
		LRRN3							M6PR
		TAF9							LRRC37B
		NCK2							CATSPER2
		PCDH7							SEPTIN7P9
		DENR							PSMD7
		PGM2L1							MYCT1
		RGMB							RPS7
		BEX5							PSMC2
		SRD5A1							
		C7orf25							
		GGCT							
		JAZF1-AS1							
		CYCS							
		HMGCR							
		MOB1B							
		C2orf74							
		SCG3							
		FEM1B							
		PPL							
		ZMYM4							
		ZNF204P							
		HSF2							
		MAP2K6							
		CAPZA2							
		PTDSS1							
		CMSS1							
		PAPSS1							
		MED31							
		MMD							
		PI4KA							
		MTERF3							
		MRPL1							
		VTI1B							
		PDE1A							
		OLA1							
		HMGCS1							
		CYP4X1							
		VPS29							
		ABRACL							
		KCNN2							
		TTC39C							
		TMEM167A							
		GRAMD1B							
		PLEKHM3							
		PITPNB							
		AKTIP							
		DNAJA1							
		PCLO							
		FAM3C							
		THOC7							
		BCAS2							
		RNF6							
		RLIM							
		PNMA8A							
		ABLIM3							
		IFIT3							
		NCEH1							
		SAP130							
		CHGB							
		OCIAD2							
		KRT222							
		PPIL3							
		ATP5PB							
		ERLEC1							
		PDHX							
		MLLT11							
		AMPH							
		ATP6AP2							
		GLOD4							
