14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
PILRB	SLC6A4	BEX4	RSRP1	ZNF14	UBE2V1	KEAP1	RPS6KA1	BTBD16	ANAPC4
ZEB1-AS1	CCZ1B	KIFBP	CLNS1A	CRNKL1	EXTL3-AS1	GMNN	PRPF38A	TUSC2	ASPA
TRAM1L1	CLIC3	SEC22A	PARP8	KLHDC8B	EIF2AK1	ACVR1C	PLCD4	MAN1A1	RNF138
KANK4	LINC00847	BLOC1S2	PKD2	ZCCHC2	CTNNA2	AKR1C3	CCM2L	HERC5	LIG3
GUSBP15	IQCF2	PPM1E	KLK6	UBE2B	ARL6IP1	LPL	EHF	AP1G2-AS1	PHYH
LCA5	LINC02347	SLITRK4	DENND11	DUXAP8	NPHP1	ZNF432	SLC14A1	CTSC	RPL23A
PIGZ	GARS1	ABCE1	ARHGEF2	ZBTB16	BTBD10	ATP5F1E	EML5	LINC00845	SLCO1A2
TMEM263	BCAR3	FBXO34	NCBP1	NUS1	SSX2IP	TCP11L2	REV3L	NLRC5	RPL41
SS18L1	BTG3-AS1	ERC2	ERC2-IT1	PIK3IP1-DT	NAP1L5	UNC13C	SAE1	RNF111	TM6SF1
NRBP2	TMPRSS11E	URB1	MYH11	TMEM200B	UCHL5	EIF3J-DT	ZNF628	STARD7-AS1	SGO1
NUDCD2	SPINDOC	DUSP4	RPS27	GAPT	REEP1	ESYT3	NARS2	FAM133A	HERC2P7
HVCN1	PRAMEF1	NRG3	ZFAS1	CLK1	RTN4	LINC02551	SEPSECS	ZBED1	RPL23AP32
TTC17	LINC01448	PPP4R4	NCF2	PLEKHA3	C6orf120	FAM78B	RIC8A	SAAL1	SCAF8
UBXN7-AS1	SDSL	ZC3H15	FTH1P5	VPS29	LOC105370109	SLC24A3	RPAP3	HAUS1	ZNF791
FSTL1	LOC101927159	GPD1L	RUFY2	MARS2	LATS1	KIF21B	H2BC7	POLR2G	WASHC4
ODAD1	HMMR	UBB	TBC1D12	OR2H2	STK39	MTFMT	ANTXR2	TMEM26-AS1	TIGD1
DGCR11	LOC105374428	LDHA	KLHDC9	NBEAL1	CDC7	POLI	EFHC1	CFAP97	CCT6P3
RBM3	MYLK-AS1	TM2D3	DYSF	CARD6	STK16	DDX20	PM20D1	MORC2-AS1	FAU
STIM2	PCBP1	CBX1	AMOTL2	RAB11FIP2	DCX	ELF1	TNRC6A	EIF3I	PDCD6P1
DNAJC30	FILIP1L	GPR158	SPDL1	ST7-OT4	TAF9	EGR4	LOC100996720	METTL6	FAM228B
TACO1	NHSL3	COPG2IT1	CDC42SE1	PSPH	LDHA	SSTR2	MKLN1	MORN2	LINC02603
ADGRB3-DT	SLC5A5	EID2	CEROX1	FXR1	GEN1	LAMP2	LINC02985	TPRG1	LOC389765
COG3	LYSMD4	MDH2	UIMC1	PAPOLA	CDS1	LINC00667	ZUP1	EOLA2	ACTR3C
SETD4	EGFEM1P	NETO2	HBB	ZNF781	CARF	SLC25A37	FMN2	ZNF491	SENP6
ARID4B	LNC-LBCS	PPP2R2B	HSPBAP1	RALGAPA2	GABRA2	KLHDC10	STX8	ALG6	GPR75
NOPCHAP1	LOC105377938	NDUFA4	FUBP3	CTHRC1	TENM2	CEBPB	GANC	FIGNL1	ZSCAN26
LOC101927829	EPS8L3	COPB2	MECR	HSPA1B	MRPL10	SNORA57	MCTS1	ALG1	CYP1B1
RDH13	JMJD6	FAM98B	PABPC1	RSKR	LZTFL1	BDNF	ANKIB1	THAP12	PRPF3
SLC25A3	TAS1R2	TCEAL7	WHAMMP2	ZNF317	CCDC43	ATF4	AQP4	FAM201A	SEPTIN7P14
SNTG2-AS1	LOC105373150	NELL2	USP24	CEBPD	SEC61G	TLR2	LMAN1	HAGLR	LOC101926915
SEPTIN10	ZNF451-AS1	GABRA2	PIAS3	TENT4B	THOC7	NOSIP	CAPN2	BCDIN3D	THOC1
DNM1P50	CFB	ARMCX2	LRRC37B	TSHZ1	GABRG2	ING2-DT	BRAT1	ESM1	TBC1D12
LOC105372793	OIT3	TTC33	PPP3CC	COPS5	MAGEF1	MAFF	CFAP53	DNAJC25	TSPYL6
LOC101929748	MACO1	ACTR10	JARID2	ATG4C	PAXIP1-DT	SNX31	PLOD2	SPINT3	PLXNC1
EFHB	LIN9	RSPO3	TLK2	HSPA2-AS1	RBBP4	GLRX	ZFY	KRTAP4-1	PPP2R2D
EXOC6B	TNFRSF8	REEP1	TIMMDC1	GMNC	HIGD1A	SNHG12	OGFRL1	SPTY2D1	USP48
BAG5	LOC101927131	SEC24B	SH3BP4	DNAJA1	C17orf58	TMA16	MBNL2	PHLPP1	SOD2
HAPLN4	TRAV26-2	MMGT1	MED1	CALCOCO2	KIAA1549	SNAI2	SMPDL3A	ACO1	TCERG1
FAM149B1	MKNK2	TMEM126B	RDH11	CPSF2	ATP8A2	IFNK	HIRA	SEMA4B	FANCB
PUS7	SIAH2	B4GAT1	ANXA2P1	MMADHC	RIMOC1	SLC18A2	SP100	PDE9A-AS1	LINC00869
UVRAG	LRRC46	MAP2K1	PLAAT1	SGCE	MZT1	TAFA5	GJA9	RHOG	PIAS3
MYLK3	H3C1	ARMT1	NAA20	PNRC2	SKP1	RNF25	GADD45G	LBH	ANKRD36B
AGAP9	ZNF257	MFSD6	KLHL3	TTLL5	TMEM237	UQCR11	MAP4K5	H2AC11	ago-03
PBLD	PRAP1	CEP15	TMEM258	ARL5B	CNEP1R1	ZNF488	ELOVL5	EOLA1	ENTPD7
FAHD2B	FUS	PPT1	RIT1	LRRC2-AS1	NAA25	NOP56	NFKBIA	UBR1	HAT1
TTC13	LINC02059	SERTM1	PHB2	DND1	PTPRA	HIF1A	RBM41	ZNF29P	CAPZA1
SLC16A6	KCNE4	DSTYK	RGS5	CRYBA1	NUDT21	ERC2	TMBIM6	OR12D2	LAMB1
GTF3C2	CASP12	MCTP1	RPL27	HSPD1	HS2ST1	RNF114	DOLK	EVI2A	ZNF514
SYMPK	AHSG	MMUT	LARP4B	MANF	ASTN1	COPB2	POGK	NEUROD6	PSMG1
EIF3L	LOC100996583	YWHAG	PLPP6	RAI2	PRKDC	HORMAD1	LINC02016	PBK	OXA1L
ZNF330	LOC105375172	FAM98A	RPS17	LINC02535	SEPTIN7P13	SHOC1	ZHX1	CLVS2	RPS10
IGSF6	MAT1A	C8orf88	LIX1L	TRMT13	ANP32E	CCAR1	MRPL52	NRG4	HEPH
ADM	BANP	EAF1	LOC105371472	RAB33B	PAIP2	COCH	SEPTIN7P13	OSTM1-AS1	UBA52
ZFP90	FRAT2	TMEM132D	PSMG1	LOC646903	MOB1B	EFL1	C1orf131	TAAR9	SPCS1
MCM3AP-AS1	GTF2E2	HIGD1A	SNX1	NAA16	ARL1	SRGN	RGL1	ZNF266	C1orf220
PDK4	POM121L8P	PAM	RPL32	HSPA6	MAL2	TBCE	CACNA2D2	DUSP28	TMEM161B-DT
BABAM2-AS1	CHRNG	KAT7	NPIPA1	RCVRN	GABRA1	ELF4	STAG1	CFAP68	PRIMA1
SYNJ2BP	INSRR	RASGRP1	FN1	LOC105370941	SCG5	ZNF639	NUP42	MTX1	BMS1P2
EGR1	PP12613	COX7B	GALNT7	FKBP14	PEG3-AS1	FASTKD1	CBX5	RAB3A	LINC02067
PPP1R3C	ACOT7	TACC2	TRIM39	ZNF776	FUT9	ATG4A	RPL11	POU2AF3	MIAT
KDR	AXDND1	SCG5	KIAA1755	CCT6P3	ADCY1	ZNF462	RHOQ	NANOG	KLF10
LOC101928574	SMOC2	COPG2	MSRB2	SNRNP48	ATP5F1C	PP2D1	ZNF136	CAMSAP1	RBM6
ATOSA	H2AC25	DLG2	LIG3	RABIF	EID2	COA3	LINC00513	CTAGE15	CD63
SLC6A15	SYNPO2L	NEGR1	TRMT11	ALKAL2	RNF150	SLC46A3	CCDC38	CYP2C8	FEZ2
ZNF586	CELSR1	LAMP5	RAVER2	ALB	NEGR1	ADRA1A	IL13RA1	KRT84	ZNF83
LRRC1	RBMXL2	EXOC8	PCBP4	COX10-DT	EEIG2	CA2	SLC35B2	DSCAM	RAB11FIP2
SAR1A	TSPAN10	CENPS	PRICKLE4	BET1	RAB6C	BCL11B	TUBD1	TSTD2	ROGDI
CD55	LIPC	SLC7A14	BMS1	DAZ4	RGL1	ASPHD1	ARRB2	RBM23	LINC00320
TMEM88	LINC00836	TXNDC12	C1orf198	SNHG21	ARFGEF3	PHF20	DPF2	EVA1C	DLGAP1-AS2
FAM95C	APOF	TSPAN13	ADPRS	ARSB	ETFBKMT	ZNF793	ADORA3	FAM81B	LOC105369228
METTL2B	ELFN1	UBE2V1	YIPF6	NT5C3A	ARPP21	SLC38A2	EIF2AK2	MOB3B	NIFK-AS1
ZNF665	GIMAP1	LRFN5	POLE3	GPR63	TOX	ZNF532	GPR12	KCNMB4	MRPS28
CCN2	RXFP3	KLHL11	PCCA	USP48	RANBP9	SPO11	JAKMIP3	UAP1L1	KTN1
SHB	RAB17	MTIF2	RPL12	SYCP2L	CHL1	ZNF792	BLTP3A	TTC19	RPL36AL
TMEM106A	TPP1	RALA	HNRNPAB	SMAD1	FZD3	COL24A1	TIGD1	DPH6-DT	CPT1B
DGKE	PCDHA6	KCNC1	WWC3	UBE2F	PLCXD3	MGST2	ZNF275	SURF1	SDE2
ITGBL1	CCL1	ZNF658	ZSCAN29	MIER1	DCLK1	FAM171A1	EIF2AK1	ZNF281	LOC100190986
PSEN1	DDI1	MTMR6	PIN1	SMAD1-AS2	RNMT	RBIS	SNORA57	CD3G	TBC1D4
ELOA-AS1	LOC440895	ZNF667-AS1	GTF3A	AGPS	ZFAND6	ZNF487	ABCD3	THSD4-AS1	HSD17B4
HRH2	ACADL	JKAMP	SEPTIN7P9	TRA2A	ABI2	PITRM1	PDHB	MYO5B	HLA-DPB2
COMMD9	TPRA1	UBE2E1	MDN1	HSP90AA1	AMZ2P1	ALDH3A2	SEC31B	TFEC	LOC401261
FREM2	DDX11-AS1	SYT1	FAM228B	LINC01018	AGBL4	GPN3	KCTD3	RAB8A	ZFP28
ATG14	BST2	NCKAP1	MRPS22	LOC100505918	METTL5	RBM22	CFAP44	SYPL1	BTBD18
RBM4B	LOC100129603	KITLG	CERCAM	RAB39A	XPA	BHLHE22	PRDX6-AS1	KCNK17	RGCC
