14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
RBBP8	PPP1R13B	GMPS	PSMC5	ZNF227	ATP2B4	NDUFB9	TLR2	UBR4	ARHGEF18
GPR82	FAM111A-DT	SARAF	USP16	TMEM50B	OIP5-AS1	SRI	AR	PDXP	MAIP1
CCDC177	NDUFV2-AS1	NEPRO	CCNT1	HIBCH	RBFOX1	TAB2	SLC7A6OS	SREK1IP1	ASCC3
HTATSF1	LOC101927495	CTNNA2	RPLP0	PRRG1	RBM11	HYCC1	RTRAF	FCRLB	GTF3A
CXorf58	HMOX1	STK39	FOLH1	GCNT4	TOMM34	NAMPT	IFT81	C2orf69	ZNF177
ZNF134	NDUFB2-AS1	UBL3	LOC101926915	ZNF681	HMGCLL1	SLC4A7	WIPI1	PDZRN4	MDC1
BLID	HCN3	MAP2	QARS1	CRYGS	TRIP12	PTP4A3	ELP4	GATD3	LRP8
DDX55	LINC02415	PIN4	CNOT1	C8orf34-AS1	ENSA	MIR29B2CHG	OR7A10	B3GALNT1	SMCHD1
LINC01366	ZC3H12A	DAPK1	RBM45	ENPP7	RTN3	ZNF793-AS1	BCS1L	CCDC160	ARHGAP21
OLR1	TKT	REEP5	ROGDI	DEXI	MAP2K6	UBE2L3	SLC7A7	CELF6	KLHDC10
JAKMIP2-AS1	ZC2HC1C	NUDT11	MIR101-1	CNTN3	DGKI	KBTBD7	DCAF10	GSTM5	RBM5
LRRC10B	RGS9	NDN	ATP2B1-AS1	MCTP1	PSMA1	CYLC2	NSUN4	ERCC1	ZNF70
CILP	EVC2	GPR26	TMOD1	IRS1	WBP4	MICAL3	RFX7	OR1D4	SLC25A18
CCDC14	CHAC1	BOLA3	PDGFA	SPIN4	HS3ST4	SERTAD4BP	TRBV10-2	SPATA19	NIP7
TRAK2	ATP13A5	GRIA1	SLC25A23	RB1CC1	KCTD16	KDM6A	SORBS1	PPWD1	PAN3-AS1
DOCK5	ERVH48-1	DNM3	NIPAL3	C1orf54	KRT10-AS1	MICAL2	ZNF470	MACROD1	SNX4
WFIKKN2	TLR5	IPCEF1	RMDN2	C12orf75	UBR3	KCNA5	SLC6A12	LOC105375547	RPL27
PCYOX1L	NCAPH	F8A1	POLR2J3	MSX1	GFPT1	SPEN	THBS3	CYC1	FKBP5
IGKV1D-8	OR8D2	KCTD16	RNF166	LINC00623	CCDC28A	MFAP3L	HACD2	LOC105374768	NCBP1
NECTIN3-AS1	JDP2	DNAJC6	ZNF609	LINC01210	LSAMP	BCCIP	KDM7A	ATP6V0A4	SLC38A11
HOMER1	C10orf126	DIAPH2	ACTR1A	SLC7A9	DIAPH2-AS1	DDX27	STRADB	PARN	DNPEP
LINC03013	RARA-AS1	NDUFAB1	PTCD3	SNORA21	TDRKH	HRK	RWDD3	GSTT1	FOXO3B
PRPF40A	WARS2	MRPL3	MRPS28	ZNF234	NTAQ1	PTPRC	ABHD14B	RNF41	BTAF1
AARS2	CLMAT3	TBCA	TMEM108-AS1	PANK3	CHMP2B	IFT20	C9	DCUN1D4	NPTN-IT1
TET1	MANF	PDP1	INAFM2	CARD8	UFC1	UXT	MT1HL1	H2AP	PGAP3
RAB40B	SPIC	MZT1	ZNF708	RC3H1	LRRC3C	RNF145	VCF1	LMX1A	FAM218A
ELP2	SLC7A1	NUP93	L3MBTL4	ANKRD37	NUDT10	LOC105375602	ZFP36L2	BIK	SON
TGFBR2	SLC35G5	RUSC1	PDE1C	NPEPPSP1	OTUD6B-AS1	OR51B2	LEPROT	TRAF5	RUFY2
RAB21	ZP4	NAP1L5	CES4A	SPART	MLLT11	SMC1A	CSGALNACT1	ISL1	STARD7
NOTCH2NLA	GPRC5D	DROSHA	BTBD18	SLC16A4	SHANK2	RTP4	TPP2	FCGR2B	LPIN1
EDEM3	CNMD	MDH1	ALG8	RPUSD3	PEG10	FNIP1	ABCG1	RGS17	FTH1P5
RABL3	HORMAD2	RALGAPA1	MAP3K7	S100A12	AHI1	SPTLC1	WAC	KRT86	KIAA0930
ZNF23	KLHL25	FAM216A	PCF11	SUGT1	ZNF280D	LCP1	ERV3-2	SLC22A1	F11R
PON3	DNAJB2	NAA25	H3-3B	MTHFD2L	ARF3	COX6B1	BTG3	LINC01224	NUMBL
NDUFA10	PXT1	UNC5C-AS1	RPL37A	NAALAD2	ZCCHC12	LOC102724859	RNF149	RNF38	OSBPL11
SYNE1	DOCK2	GGNBP2	MRPS35	GPR4	DNAAF4	C21orf91	PRDM10-DT	CNTD1	FBXL5
ABHD18	RPL19	SH3BGRL2	RHOU	GPR75	KLF9	ZBTB1	PDZD8	COMMD3	NUP88
NSD3	RP9P	TMOD2	NUTM2A-AS1	PRMT9	RNFT2	MT1X	FASTKD3	LINC00867	ZSCAN29
RAP1GAP2	HPS5	CYP51A1	LRRFIP1	LOC101928663	PCMT1	APTR	PPAT	SLC33A1	ASB7
CHIC2	SRXN1	APMAP	AS3MT	R3HDM2	RUNDC3B	TMEM121B	NLRC3	RNASE6	WHAMM
PKHD1L1	LINC01798	LOC101928335	MSANTD3	ZNF615	ANO5	L3HYPDH	ZNRF2P1	LRRC8D	CALCOCO2
GAS8	CEP89	C6orf120	SCCPDH	LINC02381	HLF	CCDC59	TMEM43	FKSG29	UBE2D2
SPECC1L	PHKA1-AS1	DYNC1I1	BMS1P2	ACADM	RFK	JAM2	RNF115	TMEM64	EPS8
GOLGA8A	CRIP2	CDH10	ABHD6	MUS81	KITLG	DROSHA	TMEM176A	KLHL26	GPR183
NDUFS3	TPT1	AMN1	SPSB1	LCOR	ITSN1	CHSY3	ZNF436-AS1	RAPGEF4-AS1	CLNS1A
F5	E4F1	C1orf52	LTBP1	AQP4-AS1	PCDHA9	BDNF-AS	LINC03011	BTN2A3P	RAB11FIP3
KIAA1671	LRRC2-AS1	FYTTD1	DEPDC7	ZNF611	CADPS	GLS2	ZBED5-AS1	IFT172	ENTPD3-AS1
