"geneID","Promedio"
"ACSL5",1.18233842502764e-05
"ACSL6",4.63770955613467e-05
"ACSM1",4.73231510790381e-06
"ACSM3",3.70670505312669e-06
"ACSM5",8.20859993473182e-06
"ACSS1",7.0179050189366e-05
"ACSS2",9.9529835590505e-06
"ACSS3",4.33177099543731e-06
"ACTA1",3.41722093809001e-06
"ACTA2",4.00689097026239e-05
"ACTB",0.0148142797255637
"ACTC1",2.0604593420639e-06
"ACTG1",0.00116606043009511
"ACTG2",5.27015553464057e-06
"ACTL6A",1.12061786913748e-06
"ACTL6B",2.75633334833771e-05
"ACTMAP",5.13276721137642e-06
"ACTN1",5.82579380001835e-05
"ACTN2",4.16034095184329e-05
"ACTN3",2.6110483895313e-06
"ACTN4",1.66623478984847e-05
"ACTR10",3.22272522842932e-05
"ACTR1A",3.83057079131683e-05
"ACTR1B",1.29359225647096e-05
"ACTR2",0.000549684963821939
"ACTR3",0.000200806747468608
"ACTR3B",4.65695872672908e-05
"ACTR3C",1.78733871203265e-05
"ACTR5",8.76958878831083e-06
"ACTR6",1.0941416851348e-05
"ACTR8",1.31805300839655e-05
"ACTRT3",1.32494346788636e-06
"ACVR1",3.62493279093978e-06
"ACVR1B",0.000150003065274916
"ACVR1C",2.52890611164175e-05
"ACVR2A",8.47709286200183e-05
"ACVR2B",5.52288704189242e-05
"ACVR2B-AS1",1.61907206194138e-05
"ACVRL1",2.3149622309818e-05
"ACY1",1.71082247812303e-05
"ACY3",4.61441919147207e-06
"ACYP1",1.57372709884662e-05
"ACYP2",8.94509889845822e-05
"ADA",7.5876417405563e-06
"ADA2",2.77005575604627e-06
"ADAD2",1.5729844251027e-05
"ADAM10",0.000156774099393572
"ADAM11",3.32928039836516e-05
"ADAM12",1.81195723596388e-05
"ADAM15",1.59401698651758e-05
"ADAM17",0.000139245622789378
"ADAM18",2.42003653804261e-06
"ADAM19",1.45363726426067e-05
"ADAM2",1.56168601036976e-06
"ADAM21",1.50553302327895e-05
"ADAM22",0.000134496176115007
"ADAM23",4.43386757016399e-05
"ADAM28",2.49610492481376e-05
"ADAM29",1.39366934069266e-06
"ADAM30",4.14201439094718e-06
"ADAM32",1.74873930063481e-06
"ADAM33",6.35149302928933e-05
"ADAM5",2.47886386568634e-06
"ADAM7",4.28997096978964e-06
"ADAM8",3.45019694749478e-05
"ADAM9",5.77137395078296e-05
"ADAMTS1",7.30957566675266e-05
"ADAMTS10",5.49895189704369e-05
"ADAMTS12",8.3722620833166e-06
"ADAMTS13",2.35829560567595e-05
"ADAMTS14",1.06134914716099e-05
"ADAMTS15",8.99338946543879e-06
"ADAMTS16",1.88633030865584e-05
"ADAMTS16-DT",6.67359882005751e-06
"ADAMTS17",1.46377679352735e-05
"ADAMTS18",3.60996289455836e-06
"ADAMTS19",5.40497422242644e-06
"ADAMTS2",1.71948968612864e-05
"ADAMTS20",2.15701516445048e-06
